No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya Bahaya
A;Kabupaten;;;;;
1;PACITAN;682;1.616;3.345;5.643;TINGGI
2;PONOROGO;591;1.636;2.710;4.937;TINGGI
3;TRENGGALEK;614;1.508;3.347;5.469;TINGGI
4;TULUNGAGUNG;119;461;1.538;2.118;TINGGI
5;BLITAR;688;1.312;1.895;3.895;TINGGI
6;KEDIRI;407;1.122;2.303;3.832;TINGGI
7;MALANG;5.981;8.440;11.620;26.041;TINGGI
8;LUMAJANG;4.389;5.647;9.749;19.785;TINGGI
9;JEMBER;4.427;8.180;14.519;27.125;TINGGI
10;BANYUWANGI;14.377;16.668;20.863;51.907;TINGGI
11;BONDOWOSO;4.273;5.766;8.334;18.373;TINGGI
12;SITUBONDO;3.903;5.591;10.408;19.903;TINGGI
13;PROBOLINGGO;4.363;4.956;8.549;17.868;TINGGI
14;PASURUAN;5.351;5.389;9.177;19.917;TINGGI
15;SIDOARJO;26;87;1.042;1.155;TINGGI
16;MOJOKERTO;1.041;1.507;2.348;4.895;TINGGI
17;JOMBANG;74;369;970;1.413;TINGGI
18;NGANJUK;51;160;333;544;TINGGI
19;MADIUN;33;77;107;217;TINGGI
20;MAGETAN;0;4;6;10;TINGGI
21;NGAWI;46;156;250;452;TINGGI
22;BOJONEGORO;257;775;2.259;3.292;TINGGI
23;GRESIK;93;559;1.688;2.340;TINGGI
B;Kota;;;;;
1;KOTA MALANG;286;1.000;1.047;2.333;TINGGI
2;KOTA PROBOLINGGO;0;177;370;547;TINGGI
3;KOTA PASURUAN;0;2;41;43;TINGGI
4;KOTA MOJOKERTO;47;96;129;272;TINGGI
5;KOTA BATU;642;515;720;1.877;TINGGI
;Provinsi Jawa Timur;52.762;73.776;119.666;246.203;TINGGI