No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
A;Kabupaten;;;;;
1;PACITAN;55.377;6.122;0;61.499;SEDANG
2;PONOROGO;6.441;33.400;8.430;48.271;TINGGI
3;TRENGGALEK;8.519;46.603;7.432;62.555;SEDANG
4;TULUNGAGUNG;7.671;26.990;6.388;41.048;TINGGI
5;BLITAR;17.612;22.759;11.366;51.737;TINGGI
6;KEDIRI;2.301;19.260;12.348;33.909;TINGGI
7;MALANG;45.415;50.719;58.720;154.854;TINGGI
8;LUMAJANG;9.032;33.920;37.839;80.791;TINGGI
9;JEMBER;2.564;32.575;99.602;134.741;TINGGI
10;BANYUWANGI;6.330;48.538;268.086;322.955;TINGGI
11;BONDOWOSO;6.945;20.884;57.220;85.050;TINGGI
12;SITUBONDO;6.367;26.827;70.561;103.756;TINGGI
13;PROBOLINGGO;1.637;47.255;24.838;73.730;TINGGI
14;PASURUAN;7.349;31.256;15.046;53.651;TINGGI
15;MOJOKERTO;213;7.546;12.723;20.482;TINGGI
16;JOMBANG;1.185;15.674;12.356;29.216;TINGGI
17;NGANJUK;849;23.908;23.085;47.843;TINGGI
18;MADIUN;5.101;22.819;17.481;45.402;TINGGI
19;MAGETAN;2.225;5.261;4.850;12.336;TINGGI
20;NGAWI;966;27.569;9.862;38.397;TINGGI
21;BOJONEGORO;871;57.710;24.503;83.084;TINGGI
22;TUBAN;442;49.925;9.491;59.858;SEDANG
23;LAMONGAN;1.640;25.424;5.878;32.942;TINGGI
24;GRESIK;15.340;15.381;1.404;32.124;SEDANG
25;BANGKALAN;5.870;8.569;0;14.439;SEDANG
26;SAMPANG;7.231;7.110;0;14.342;SEDANG
27;PAMEKASAN;2.124;2.872;0;4.996;SEDANG
28;SUMENEP;20.337;20.996;11.616;52.949;SEDANG
B;Kota;;;;;
1;KOTA KEDIRI;0;369;0;369;SEDANG
2;KOTA SURABAYA;64;0;0;64;RENDAH
3;KOTA BATU;29;2.179;6.330;8.538;TINGGI
;Provinsi Jawa Timur;248.049;740.422;817.456;1.805.927;TINGGI